"","stopid","displaystopid","shortname","fullname","shortnamelocalized","fullnamelocalized"
"8996","554261","554261","Park Cross","Park Cross (Leitrim) (northbound)","X na Páirce",""
"8997","554271","554271","Drinaghan Cross","Drinaghan Cross (eastbound)","X Dhraighneacháin",""
"8998","554311","554311","Spar - Bus Station","Sligo (Spar Knappagh Road)","Spar (Busáras)",""
"8999","554321","554321","O'Connell Street","O Connell Street (Hargadon)","Sráid Uí Chonaill",""
"9000","554331","554331","Sligo","Sligo (Opp Spar Knappagh Road)","Sligeach",""
"9001","554341","554341","Tumgesh","Tumgesh (Opp School)","",""
"9002","554351","554351","Tumgesh School","Tumgesh (School)","Scoil Thuaim Gheise",""
"9003","554361","554361","Partry","Partry (Opp Garda Station)","Partraí",""
"9004","554401","554401","Geeslaa","Geeslaa (High Chaparral)","Geesla",""
"9005","554411","554411","Pontoon","Pontoon (Opp Ball Alley)","Pontún",""
"9006","554421","554421","Pontoon Healys","Pontoon (Opp Healys)","Pontoon Healys",""
"9007","554431","554431","Pontoon Cross","Pontoon Cross (Westbound)","",""
"9008","554441","554441","Pontoon Cross","Pontoon Cross (Eastbound)","",""
"9009","554451","554451","Pontoon","Pontoon (Healys)","Pontún",""
"9010","554541","554541","Recess","Recess (Opp Joyces)","Sraith Salach",""
"9011","554621","554621","Castle Street","Castle Street","",""
"9012","554641","554641","Keash","Keash (Wards Shop)","",""
"9013","554651","554651","Cooneal","Cooneal (School)","",""
"9014","554661","554661","Keash","Keash (Opp Wards Shop)","",""
"9015","554671","554671","Cloonkeevy","Cloonkeevy (Westbound)","",""
"9016","554681","554681","Bohola","Bohola (Westbound)","Both Chomhla",""
"9017","554691","554691","Carrolls Cross","Carrolls Cross (Southbound)","X Uí Chearúill",""
"9018","554701","554701","Connaught Street","Connaught Street (Lennons Shop)","",""
"9019","554751","554751","Sea Road","Sea Road (Seaview Park)","Bóthar na Mara",""
"9020","554761","554761","The Batteries","The Batteries (Battery Heights)","",""
"9021","554771","554771","St Annes Terrace","St Annes Terrace (Ave Maria Jctn)","",""
"9022","554781","554781","Baylough","Baylough (Spar)","",""
"9023","554791","554791","Second Sea Road","Second Sea Road (Woodville Court)","",""
