"","stopid","displaystopid","shortname","fullname","shortnamelocalized","fullnamelocalized"
"1","2","2","Parnell Square","Parnell Square","Cearnóg Parnell",""
"2","3","3","Parnell Square","Parnell Square","Cearnóg Parnell",""
"3","4","4","Parnell Square","Parnell Square","Cearnóg Parnell",""
"4","6","6","Parnell Square","Parnell Square","Cearnóg Parnell",""
"5","7","7","Parnell Square","Parnell Square","Cearnóg Parnell",""
"6","8","8","Parnell Square","Parnell Square","Cearnóg Parnell",""
"7","10","10","Parnell Square","Parnell Square","Cearnóg Parnell",""
"8","11","11","Dorset St","Dorset St","Sráid Dorset",""
"9","12","12","Dorset St","Dorset St","Sráid Dorset",""
"10","14","14","Dorset St","Dorset St","Sráid Dorset",""
"11","15","15","Dorset St","Dorset St","Sráid Dorset",""
"12","16","16","Nephin Road","Nephin Road","Bóthar Néifinne",""
"13","17","17","Drumcondra Rd","Drumcondra Rd","Br Dhroim Conrach",""
"14","18","18","Drumcondra Rd","Drumcondra Rd","Br Dhroim Conrach",""
"15","19","19","Drumcondra Rd","Drumcondra Rd","Br Dhroim Conrach",""
"16","21","21","Drumcondra Rd","Drumcondra Rd","Br Dhroim Conrach",""
"17","22","22","Home Farm Road","Home Farm Road","Bóthar na Buaile",""
"18","23","23","Home Farm Road","Home Farm Road","Bóthar na Buaile",""
"19","24","24","Home Farm Road","Home Farm Road","Bóthar na Buaile",""
"20","25","25","Home Farm Road","Home Farm Road","Bóthar na Buaile",""
"21","27","27","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"22","28","28","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"23","29","29","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"24","30","30","Ventry Park","Ventry Park","Páirc Fhionntrá",""
"25","31","31","St. Pappin's Road","St. Pappin's Road","Bóthar Phapáin",""
"26","32","32","St. Pappin's Road","St. Pappin's Road","Bóthar Phapáin",""
"27","33","33","Glasnevin Drive","Glasnevin Drive","Céide Ghlas Naíon",""
"28","35","35","St. Pappin's Road","St. Pappin's Road","Bóthar Phapáin",""
"29","36","36","St. Pappin's Road","St. Pappin's Road","Bóthar Phapáin",""
"30","37","37","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"31","38","38","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"32","39","39","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"33","40","40","Mobhi Road","Mobhi Road","Bóthar Mobhí",""
"34","41","41","Home Farm Road","Home Farm Road","Bóthar na Buaile",""
"35","42","42","Home Farm Road","Home Farm Road","Bóthar na Buaile",""
"36","43","43","Home Farm Road","Home Farm Road","Bóthar na Buaile",""
"37","44","44","Drumcondra Rd","Drumcondra Rd","Br Dhroim Conrach",""
"38","45","45","Drumcondra Rd","Drumcondra Rd","Br Dhroim Conrach",""
"39","46","46","Drumcondra Rd","Drumcondra Rd","Br Dhroim Conrach",""
"40","47","47","Drumcondra Rd","Drumcondra Rd","Br Dhroim Conrach",""
"41","48","48","Drumcondra Rd","Drumcondra Rd","Br Dhroim Conrach",""
"42","49","49","Dorset St","Dorset St","Sráid Dorset",""
"43","51","51","Dorset St","Dorset St","Sráid Dorset",""
"44","52","52","Dorset St","Dorset St","Sráid Dorset",""
"45","53","53","North Circular Road","North Circular Road","An Cuarbhóthar Tdh",""
"46","54","54","North Circular Road","North Circular Road","An Cuarbhóthar Tdh",""
"47","55","55","North Circular Road","North Circular Road","An Cuarbhóthar Tdh",""
"48","56","56","Cabra Road","Cabra Road","Bóthar na Cabraí",""
"49","57","57","Cabra Road","Cabra Road","Bóthar na Cabraí",""
"50","58","58","Cabra Road","Cabra Road","Bóthar na Cabraí",""
"51","59","59","Cabra Road","Cabra Road","Bóthar na Cabraí",""
"52","60","60","Cabra Road","Cabra Road","Bóthar na Cabraí",""
"53","63","63","Faussagh Avenue","Faussagh Avenue","Ascaill an Fhásaigh",""
"54","64","64","Faussagh Avenue","Faussagh Avenue","Ascaill an Fhásaigh",""
"55","65","65","Faussagh Avenue","Faussagh Avenue","Ascaill an Fhásaigh",""
"56","66","66","Faussagh Avenue","Faussagh Avenue","Ascaill an Fhásaigh",""
"57","68","68","Ventry Drive","Ventry Drive","Céide Fhionntrá",""
"58","69","69","Carnlough Road","Carnlough Road","Bóthar Charnlaigh",""
"59","71","71","Ventry Park","Ventry Park","Páirc Fhionntrá",""
"60","72","72","Ventry Drive","Ventry Drive","Céide Fhionntrá",""
"61","73","73","Faussagh Avenue","Faussagh Avenue","Ascaill an Fhásaigh",""
"62","74","74","Faussagh Avenue","Faussagh Avenue","Ascaill an Fhásaigh",""
"63","75","75","Faussagh Avenue","Faussagh Avenue","Ascaill an Fhásaigh",""
"64","77","77","Cabra Road","Cabra Road","Bóthar na Cabraí",""
"65","78","78","Cabra Road","Cabra Road","Bóthar na Cabraí",""
"66","79","79","Cabra Road","Cabra Road","Bóthar na Cabraí",""
"67","80","80","Cabra Road","Cabra Road","Bóthar na Cabraí",""
"68","81","81","North Circular Road","North Circular Road","An Cuarbhóthar Tdh",""
"69","82","82","North Circular Road","North Circular Road","An Cuarbhóthar Tdh",""
"70","83","83","North Circular Road","North Circular Road","An Cuarbhóthar Tdh",""
"71","84","84","North Circular Road","North Circular Road","An Cuarbhóthar Tdh",""
"72","85","85","Drumcondra Rd","Drumcondra Rd","Br Dhroim Conrach",""
"73","86","86","Griffith Avenue","Griffith Avenue","Ascaill Uí Ghríofa",""
"74","87","87","Griffith Avenue","Griffith Avenue","Ascaill Uí Ghríofa",""
"75","88","88","Griffith Avenue","Griffith Avenue","Ascaill Uí Ghríofa",""
"76","89","89","Griffith Avenue","Griffith Avenue","Ascaill Uí Ghríofa",""
"77","90","90","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"78","91","91","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"79","92","92","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"80","93","93","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"81","94","94","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"82","100","100","Wellington Road","Wellington Road","Bóthar Wellington",""
"83","102","102","Balbutcher Lane","Balbutcher Lane","Lána BhaileBhúiséir",""
"84","104","104","Balbutcher Lane","Balbutcher Lane","Lána BhaileBhúiséir",""
"85","105","105","Balbutcher Lane","Balbutcher Lane","Lána BhaileBhúiséir",""
"86","107","107","Balbutcher Lane","Balbutcher Lane","Lána BhaileBhúiséir",""
"87","110","110","Balbutcher Lane","Balbutcher Lane","Lána BhaileBhúiséir",""
"88","112","112","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"89","113","113","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"90","114","114","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"91","115","115","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"92","116","116","Griffith Avenue","Griffith Avenue","Ascaill Uí Ghríofa",""
"93","117","117","Griffith Avenue","Griffith Avenue","Ascaill Uí Ghríofa",""
"94","118","118","Griffith Avenue","Griffith Avenue","Ascaill Uí Ghríofa",""
"95","119","119","Drumcondra Rd","Drumcondra Rd","Br Dhroim Conrach",""
"96","124","124","Shangan Road","Virgin Mary Church","Bóthar na Seangán",""
"97","126","126","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"98","127","127","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"99","128","128","Glasnevin Avenue","Glasnevin Avenue","Ascaill Ghlas Naíon",""
"100","129","129","Glasnevin Avenue","Glasnevin Avenue","Ascaill Ghlas Naíon",""
"101","130","130","Glasnevin Avenue","Glasnevin Avenue","Ascaill Ghlas Naíon",""
"102","131","131","Glasnevin Avenue","Glasnevin Avenue","Ascaill Ghlas Naíon",""
"103","132","132","Glasnevin Avenue","Beneavin Park","Ascaill Ghlas Naíon",""
"104","133","133","Grove Park Road","Grove Park Road","Bóthar Pháirc an Gh",""
"105","134","134","Sycamore Rd","Sycamore Rd","Br an tSeiceamair",""
"106","136","136","McKee Road","McKee Road","Bóthar Mhic Aoidh",""
"107","137","137","McKee Road","McKee Road","Bóthar Mhic Aoidh",""
"108","138","138","Ballygall Road West","Ballygall Road West","Bóthar Bhaile Gall",""
"109","139","139","Glasnevin Avenue","Grove Park Road","Ascaill Ghlas Naíon",""
"110","140","140","Glasnevin Avenue","Beneavin Park","Ascaill Ghlas Naíon",""
"111","141","141","Glasnevin Avenue","Glasnevin Avenue","Ascaill Ghlas Naíon",""
"112","142","142","Glasnevin Avenue","Glasnevin Avenue","Ascaill Ghlas Naíon",""
"113","143","143","Glasnevin Avenue","Glasnevin Avenue","Ascaill Ghlas Naíon",""
"114","146","146","Mobhi Road","Mobhi Road","Bóthar Mobhí",""
"115","147","147","Mobhi Road","Mobhi Road","Bóthar Mobhí",""
"116","148","148","Mobhi Road","Mobhi Road","Bóthar Mobhí",""
"117","149","149","Mobhi Road","Mobhi Road","Bóthar Mobhí",""
"118","150","150","Mobhi Road","Mobhi Road","Bóthar Mobhí",""
"119","151","151","Botanic Rd","Botanic Rd","Br Gharraithe na Lu",""
"120","153","153","Glasnevin Hill","Glasnevin Hill","Cnoc Ghlas Naíon",""
"121","154","154","Old Finglas Rd","Old Finglas Rd","Snbr Fhionnghlaise",""
"122","155","155","Old Finglas Rd","Old Finglas Rd","Snbr Fhionnghlaise",""
"123","156","156","Tolka Estate","Tolka Estate","Eastát na Tulchann",""
"124","157","157","Glasilawn Road","Glasilawn Road","Bóthar Ghlasoileáin",""
"125","158","158","Griffith Road","Griffith Road","Bóthar Uí Ghríofa",""
"126","159","159","Griffith Parade","Griffith Parade","Paráid Uí Ghríofa",""
"127","164","164","Beneavin Rd","Beneavin Rd","Br Bhinn Aoibhinn",""
"128","165","165","Beneavin Rd","Beneavin Rd","Br Bhinn Aoibhinn",""
"129","166","166","Beneavin Rd","Beneavin Rd","Br Bhinn Aoibhinn",""
"130","167","167","Beneavin Rd","Beneavin Rd","Br Bhinn Aoibhinn",""
"131","168","168","Beneavin Rd","Beneavin Rd","Br Bhinn Aoibhinn",""
"132","169","169","Beneavin Rd","Beneavin Rd","Br Bhinn Aoibhinn",""
"133","173","173","Glasnamana Place","Glasnamana Place","Plás Ghlas na Manac",""
"134","174","174","Tolka Estate","Tolka Estate","Eastát Bhóthar na T",""
"135","175","175","Tolka Estate","Tolka Estate","Eastát na Tulchann",""
"136","176","176","Old Finglas Rd","Old Finglas Rd","Snbr Fhionnghlaise",""
"137","177","177","Ballygall Rd East","Ballygall Rd East","Br Bhaile Gall Thoi",""
"138","178","178","Ballygall Rd East","Ballygall Rd East","Br Bhaile Gall Thoi",""
"139","179","179","Ballygall Rd East","Ballygall Rd East","Br Bhaile Gall Thoi",""
"140","181","181","Old Finglas Rd","Old Finglas Rd","Snbr Fhionnghlaise",""
"141","182","182","Glasnevin Hill","Glasnevin Hill","Cnoc Ghlas Naíon",""
"142","183","183","Botanic Rd","Botanic Rd","Br Gharraithe na Lu",""
"143","184","184","Botanic Rd","Botanic Rd","Br Gharraithe na Lu",""
"144","185","185","Botanic Rd","Botanic Rd","Br Gharraithe na Lu",""
"145","186","186","Prospect Road","Prospect Road","Bóthar na Radharc",""
"146","187","187","Phibsboro Road","Phibsboro Road","Bóthar Bhaile Phib",""
"147","188","188","Phibsboro Road","Phibsboro Road","Bóthar Bhaile Phib",""
"148","189","189","Phibsboro Road","Phibsboro Road","Bóthar Bhaile Phib",""
"149","190","190","Phibsboro Road","Phibsboro Road","Bóthar Bhaile Phib",""
"150","191","191","Western Way","Western Way","An Bealach Siar",""
"151","192","192","Mountjoy Street","Mountjoy Street","Sráid Mhuinseo",""
"152","193","193","Mckee Road","Mckee Road","Bóthar Mhic Aoidh",""
"153","194","194","Western Way","Western Way","An Bealach Siar",""
"154","195","195","Phibsboro Road","Phibsboro Road","Bóthar Bhaile Phib",""
"155","196","196","Phibsboro Road","Phibsboro Road","Bóthar Bhaile Phib",""
"156","197","197","Phibsboro Road","Phibsboro Road","Bóthar Bhaole Phib",""
"157","198","198","Phibsboro Road","Phibsboro Road","Bóthar Bhaile Phib",""
"158","199","199","Phibsboro Road","Phibsboro Road","Bóthar Bhaile Phib",""
"159","200","200","Prospect Way","Prospect Way","Slí na Radharc",""
"160","201","201","Botanic Rd","Botanic Rd","Br Gharraithe na Lu",""
"161","202","202","Botanic Rd","Botanic Rd","Br Gharraithe na Lu",""
"162","203","203","Swords Road","Swords Road","Bóthar Shoird",""
"163","204","204","Swords Road","Swords Road","Bóthar Shoird",""
"164","205","205","Swords Road","Swords Road","Bóthar Shoird",""
"165","206","206","Collins Ave","Collins Ave","Asc Uí Choileáin",""
"166","207","207","Larkhill Rd","Larkhill Rd","Br Chnoc na Fuiseoi",""
"167","208","208","Glendun Rd","Glendun Rd","Br Ghleann Doinne",""
"168","209","209","Larkhill Rd","Larkhill Rd","Br Chnoc na Fuiseoi",""
"169","210","210","Larkhill Rd","Larkhill Rd","Br Chnoc na Fuiseoi",""
"170","211","211","Collins Ave","Collins Ave","Asc Uí Choileáin",""
"171","212","212","Collins Ave","Collins Ave","Asc Uí Choileáin",""
"172","213","213","Swords Road","Swords Road","Bóthar Shoird",""
"173","214","214","Swords Road","Swords Road","Bóthar Shoird",""
"174","215","215","Collins Ave","Collins Ave","Asc Uí Choileáin",""
"175","216","216","Beaumont Road","Beaumont Road","Bóthar Beaumont",""
"176","217","217","Beaumont Road","Beaumont Road","Bóthar Beaumont",""
"177","218","218","Shantalla Road","Shantalla Road","Bóthar Sheantalaimh",""
"178","219","219","Shantalla Road","Shantalla Road","Bóthar Sheantalaimh",""
"179","220","220","Swords Road","Swords Road","Bóthar Shoird",""
"180","221","221","Shanowen Rd","Shanowen Rd","Br na Seanabhann",""
"181","222","222","Shanliss Rd","Shanliss Rd","Br an tSeanleasa",""
"182","223","223","Shanliss Rd","Shanliss Rd","Br an tSeanleasa",""
"183","224","224","Shanard Road","Shanard Road","Bóthar Sheanaird",""
"184","225","225","Shanard Road","Shanard Road","Bóthar Sheanaird",""
"185","226","226","Shanard Road","Shanard Road","Bóthar Sheanaird",""
"186","227","227","Shanliss Rd","Shanliss Rd","Br an tSeanleasa",""
"187","228","228","Shanliss Rd","Shanliss Rd","Br an tSeanleasa",""
"188","229","229","Shanliss Rd","Shanliss Rd","Br an tSeanleasa",""
"189","230","230","Shanliss Rd","Shanliss Rd","Br an tSeanleasa",""
"190","231","231","Swords Road","Swords Road","Bóthar Shoird",""
"191","232","232","Shantalla Road","Shantalla Road","Bóthar Sheantalaimh",""
"192","233","233","Shantalla Road","Shantalla Road","Bóthar Sheantalaimh",""
"193","234","234","Beaumont Road","Beaumont Road","Bóthar Beaumont",""
"194","235","235","Beaumont Road","Beaumont Road","Bóthar Beaumont",""
"195","236","236","Beaumont Road","Beaumont Road","Bóthar Beaumont",""
"196","237","237","Collins Ave","Collins Ave","Ascl Uí Choileáin",""
"197","242","242","Beaumont Road","Beaumont Road","Bóthar Beaumont",""
"198","243","243","Beaumont Road","Beaumont Road","Bóthar Beaumont",""
"199","244","244","Skelly's Lane","Skelly's Lane","Lána Uí Scalaí",""
"200","245","245","Skelly's Lane","Skelly's Lane","Lána Uí Scalaí",""
"201","246","246","Kilmore Rd","Kilmore Rd","Br na Coille Móire",""
"202","247","247","Ardlea Road","Ardlea Road","Bóthar Ard Liath",""
"203","248","248","Maryfield Drive","Maryfield Drive","Céide Ghort Mhuire",""
"204","249","249","Kilmore Rd","Kilmore Rd","Br na Coille Móire",""
"205","250","250","Skelly's Lane","Skelly's Lane","Lána Uí Scalaí",""
"206","251","251","Skelly's Lane","Skelly's Lane","Lána Uí Scalaí",""
"207","252","252","Skelly's Lane","Skelly's Lane","Lána Uí Scalaí",""
"208","253","253","Beaumont Hospital","Beaumont Hospital","Ospidéal Beaumont",""
"209","254","254","Beaumont Hospital","Beaumont Hospital","Ospidéal Beaumont",""
"210","255","255","Beaumont Road","Beaumont Road","Bóthar Beaumont",""
"211","261","261","Parnell Square","Parnell Square","Cearnóg Parnell",""
"212","262","262","Parnell Square","Parnell Square","Cearnóg Parnell",""
"213","263","263","Parnell Square","Parnell Square","Cearnóg Parnell",""
"214","264","264","Parnell Square","Parnell Square","Cearnóg Parnell",""
"215","265","265","Parnell Square","Parnell Square","Cearnóg Parnell",""
"216","270","270","O'Connell St","O'Connell St","Sr Uí Chonaill",""
"217","271","271","O'Connell St","O'Connell St","Sr Uí Chonaill",""
"218","272","272","O'Connell St","O'Connell St","Sr Uí Chonaill",""
"219","273","273","O'Connell St","O'Connell St","Sr Uí Chonaill",""
"220","274","274","O'Connell St","O'Connell St","Sr Uí Chonaill",""
"221","276","276","River Road","River Road","Bóthar na hAbhann",""
"222","277","277","O'Connell St","O'Connell St","Sr Uí Chonaill",""
"223","278","278","O'Connell St","O'Connell St","Sr Uí Chonaill",""
"224","279","279","O'Connell St","O'Connell St","Sr Uí Chonaill",""
"225","281","281","O'Connell St","O'Connell St","Sr Uí Chonaill",""
"226","284","284","Rathbourne Avenue","Rathbourne Avenue","Cúirt Rathbourne",""
"227","286","286","Cathal Brugha St","Cathal Brugha St","Sr Chathail Brugha",""
"228","288","288","Abbey St","Abbey St","Sr na Mainistreach",""
"229","289","289","Abbey St","Abbey St","Sr na Mainistreach",""
"230","291","291","Abbey St","Abbey St","Sr na Mainistreach",""
"231","292","292","Abbey St","Abbey St","Sr na Mainistreach",""
"232","293","293","Abbey St","Abbey St","Sr na Mainistreach",""
"233","297","297","Eden Quay","Eden Quay","Cé Éidin",""
"234","298","298","Eden Quay","Eden Quay","Cé Éidin",""
"235","299","299","Eden Quay","Eden Quay","Cé Éidin",""
"236","300","300","Eden Quay","Eden Quay","Cé Éidin",""
"237","301","301","Eden Quay","Eden Quay","Cé Éidin",""
"238","302","302","Eden Quay","Eden Quay","Cé Éidin",""
"239","303","303","Eden Quay","Eden Quay","Cé Éidin",""
"240","307","307","O'Donovan Rd","O'Donovan Rd","Br Uí Dhonnabháin",""
"241","308","308","Oscar Square","Oscar Square","Cearnóg Oscair",""
"242","309","309","Ardee St","Ardee St","Sr B. Átha Fhirdhia",""
"243","312","312","Wellington Quay","Wellington Quay","Cé Wellington",""
"244","315","315","Bachelors Walk","Bachelors Walk","Siúlán Bhaitsiléir",""
"245","317","317","Westmoreland Street","Westmoreland Street","Sráid Westmoreland",""
"246","318","318","Westmoreland Street","Westmoreland Street","Sráid Westmoreland",""
"247","319","319","Westmoreland Street","Westmoreland Street","Sráid Westmoreland",""
"248","320","320","Westmoreland Street","Westmoreland Street","Sráid Westmoreland",""
"249","322","322","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"250","323","323","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"251","324","324","Harristown","Harristown","Baile Anraí",""
"252","325","325","Aston Quay","Aston Quay","Cé Aston",""
"253","326","326","Aston Quay","Aston Quay","Cé Aston",""
"254","327","327","Ballymun Road","Ballymun Road","Bóthar Bhaile Munna",""
"255","328","328","Aston Quay","Aston Quay","Cé Aston",""
"256","329","329","Aston Quay","Aston Quay","Cé Aston",""
"257","332","332","Harristown","Harristown","Baile Anraí",""
"258","333","333","D'Olier Street","D'Olier Street","Sráid D'Olier",""
"259","334","334","D'Olier Street","D'Olier Street","Sráid D'Olier",""
"260","335","335","D'Olier Street","D'Olier Street","Sráid D'Olier",""
"261","336","336","D'Olier Street","D'Olier Street","Sráid D'Olier",""
"262","340","340","Townsend St","Townsend St","Sr Chnoc na Lobhar",""
"263","342","342","Pearse Street","Pearse Street","Sráid an Choláiste",""
"264","345","345","Pearse Street","Pearse Street","Sráid an Phiarsaigh",""
"265","346","346","Pearse Street","Pearse Street","Sr an Phiarsaigh",""
"266","350","350","Townsend Street","Townsend Street","Sráid Chnoc Na Lobh",""
"267","351","351","Pearse Street","Pearse Street","Sráid an Phiarsaigh",""
"268","352","352","Pearse Street","Pearse Street","Sráid an Phiarsaigh",""
"269","353","353","Pearse Street","Pearse Street","Sráid an Phiarsaigh",""
"270","354","354","Ringsend Road","Ringsend Road","Bóthar na Rinne",""
"271","355","355","Ringsend Road","Ringsend Road","Bóthar na Rinne",""
"272","356","356","Bridge Street","Bridge Street","Sráid Bhríde",""
"273","357","357","Irishtown Rd","Irishtown Rd","Br an Bhaile Ghaela",""
"274","371","371","Irishtown Rd","Irishtown Rd","Br an Bhaile Ghaela",""
"275","372","372","Sandymount Rd","Sandymount Rd","Br Dhumhach Thrá",""
"276","373","373","Sandymount Rd","Sandymount Rd","Br Dhumhach Thrá",""
"277","374","374","Sandymount Rd","Sandymount Rd","Br Dhumhach Thrá",""
"278","375","375","Seafort Ave","Seafort Ave","Ascl Dhún na Mara",""
"279","376","376","Strand Road","Strand Road","Bóthar na Trá",""
"280","377","377","Strand Road","Strand Road","Bóthar na Trá",""
"281","378","378","Strand Road","Strand Road","Bóthar na Trá",""
"282","380","380","St. John's Road","St. John's Road","Bóthar Eoin",""
"283","381","381","Park Avenue","Park Avenue","Ascaill na Páirce",""
"284","382","382","St. John's Road","St. John's Road","Bóthar Eoin",""
"285","383","383","Strand Road","Strand Road","Bóthar na Trá",""
"286","384","384","Strand Road","Strand Road","Bóthar na Trá",""
"287","385","385","Newgrove Ave","Newgrove Ave","Asc an Gharráin Nua",""
"288","387","387","Sandymount Rd","Sandymount Rd","Br Dhumhach Thrá",""
"289","388","388","Sandymount Rd","Sandymount Rd","Br Dhumhach Thrá",""
"290","389","389","Sandymount Rd","Sandymount Rd","Br Dhumhach Thrá",""
"291","390","390","Tritonville Road","Tritonville Road","Bóthar Tritonville",""
"292","391","391","Irishtown Rd","Irishtown Rd","Br an Bhaile Ghaela",""
"293","392","392","Bridge Street","Bridge Street","Sráid an Droichid",""
"294","393","393","Tritonville Road","Tritonville Road","Bóthar Tritonville",""
"295","395","395","Ringsend Road","Ringsend Road","Bóthar na Rinne",""
"296","396","396","Pearse Street","Pearse Street","Sráid an Phiarsaigh",""
"297","397","397","Pearse Street","Pearse Street","Sráid an Phiarsaigh",""
"298","398","398","Pearse Street","Pearse Street","Sráid an Phiarsaigh",""
"299","399","399","Pearse Street","Pearse Street","Sráid an Phiarsaigh",""
"300","400","400","Pearse Street","Pearse Street","Sráid an Phiarsaigh",""
"301","404","404","Nassau Street","Nassau Street","Sráid Nassau",""
"302","405","405","Nassau Street","Nassau Street","Sráid Nassau",""
"303","406","406","Nassau Street","Nassau Street","Sráid Nassau",""
"304","407","407","Custom House Quay","Custom House Quay","Cé Theach an Chusta",""
"305","408","408","Merrion Sq","Merrion Sq","Cearnóg Mhuirfean",""
"306","409","409","Merrion Sq","Merrion Sq","Cearnóg Mhuirfean",""
"307","410","410","Mount St","Mount St","Sráid an Mhóta",""
"308","411","411","Mount St","Mount St","Sráid an Mhóta",""
"309","412","412","Northumberland Rd","Northumberland Rd","Br Northumberland",""
"310","413","413","Northumberland Rd","Northumberland Rd","Br Northumberland",""
"311","414","414","Pembroke Road","Pembroke Road","Bóthar Pheambróg",""
"312","415","415","Pembroke Road","Pembroke Road","Bóthar Pheambróg",""
"313","416","416","Ballsbridge","Ballsbridge","Droichead na Dothra",""
"314","417","417","Merrion Road","Merrion Road","Bóthar Mhuirfean",""
"315","418","418","Merrion Road","Merrion Road","Bóthar Mhuirfean",""
"316","419","419","Merrion Road","Merrion Road","Bóthar Mhuirfean",""
"317","420","420","Merrion Road","Merrion Road","Bóthar Mhuirfean",""
"318","421","421","Merrion Road","Merrion Road","Bóthar Mhuirfean",""
"319","422","422","Merrion Road","Merrion Road","Bóthar Mhuirfean",""
"320","423","423","Merrion Road","Merrion Road","Bóthar Mhuirfean",""
"321","424","424","Merrion Road","Merrion Road","Bóthar Mhuirfean",""
"322","425","425","Merrion Road","Merrion Road","Bóthar Mhuirfean",""
"323","426","426","Rock Road","Rock Road","Bóthar na Carraige",""
"324","427","427","Rock Road","Rock Road","Bóthar na Carraige",""
"325","428","428","Rock Road","Rock Road","Bóthar na Carraige",""
"326","429","429","Rock Road","Rock Road","Bóthar na Carraige",""
"327","430","430","Mount Merrion Ave","Sydney Avenue","Asc Chnoc Mhuirfean",""
"328","431","431","Mount Merrion Ave","Cross Avenue","Asc Chnoc Mhuirfean",""
"329","432","432","Mount Merrion Ave","Hyde Park Avenue","Asc Chnoc Mhuirfean",""
"330","433","433","Mount Merrion Ave","Grove Avenue","Asc Chnoc Mhuirfean",""
"331","434","434","Mount Merrion Ave","Woodlands Park","Asc Chnoc Mhuirfean",""
"332","435","435","Stillorgan Road","Stillorgan Road","Bóthar Stigh Lorgan",""
"333","437","437","Trees Rd Lw","Trees Rd Lw","Br na gCrann Íocht",""
"334","441","441","Kilmacud Rd","Kilmacud Rd","Br Chill Mochuda",""
"335","442","442","Kilmacud Rd","Kilmacud Rd","Br Chill Mochuda",""
"336","443","443","Kilmacud Rd","Kilmacud Rd","Br Chill Mochuda",""
"337","444","444","Kilmacud Rd","Kilmacud Rd","Br Chill Mochuda",""
"338","445","445","Kilmacud Rd","Kilmacud Rd","Br Chill Mochuda",""
"339","447","447","Kilmacud Rd","Kilmacud Rd","Br Chill Mochuda",""
"340","448","448","Burton Hall Rd","Burton Hall Rd","Br Halla an Bhurtún",""
"341","449","449","Blackthorn Road","Blackthorn Road","Céide an Draighin",""
"342","450","450","Blackthorn Road","Blackthorn Road","Bóthar an Draighin",""
"343","451","451","Blackthorn Drive","Blackthorn Drive","Céide an Draighin",""
"344","453","453","Kilmacud Rd","Kilmacud Rd","Br Chill Mochuda",""
"345","454","454","Kilmacud Rd","Kilmacud Rd","Br Chill Mochuda",""
"346","459","459","South Avenue","South Avenue","An Ascaill Theas",""
"347","460","460","Trees Rd Lw","Trees Rd Lw","Br na gCrann Íocht",""
"348","461","461","Stillorgan Road","Stillorgan Road","Bóthar Stigh Lorgan",""
"349","462","462","Mount Merrion Ave","Mount Merrion Avenue","Asc Chnoc Mhuirfean",""
"350","464","464","Mount Merrion Ave","Southhill Avenue","Asc Chnoc Mhuirfean",""
"351","465","465","Mount Merrion Ave","Clanfadda Wood","Asc Chnoc Mhuirfean",""
"352","466","466","Mount Merrion Ave","Glenvar Park","Asc Chnoc Mhuirfean",""
"353","467","467","Mount Merrion Ave","Cross Avenue","Asc Chnoc Mhuirfean",""
"354","468","468","Mount Merrion Ave","Sydney Avenue","Asc Chnoc Mhuirfean",""
"355","469","469","Rock Road","Rock Road","Bóthar na Carraige",""
"356","470","470","Rock Road","Rock Road","Bóthar na Carraige",""
"357","471","471","Rock Road","Rock Road","Bóthar na Carraige",""
"358","472","472","Rock Road","Rock Road","Bóthar na Carraige",""
"359","473","473","Rock Road","Rock Road","Bóthar na Carraige",""
"360","475","475","Rock Road","Rock Road","Bóthar na Carraige",""
"361","476","476","Rock Road","Rock Road","Bóthar na Carraige",""
"362","477","477","Merrion Road","Merrion Road","Bóthar Mhuirfean",""
"363","478","478","Merrion Road","Merrion Road","Bóthar Mhuirfean",""
"364","479","479","Merrion Road","Merrion Road","Bóthar Mhuirfean",""
"365","480","480","Merrion Road","Merrion Road","Bóthar Mhuirfean",""
"366","481","481","Merrion Road","Merrion Road","Bóthar Mhuirfean",""
"367","482","482","Merrion Road","Merrion Road","Bóthar Mhuirfean",""
"368","483","483","Merrion Road","Merrion Road","Bóthar Mhuirfean",""
"369","485","485","Ballsbridge","Ballsbridge","Droichead na Dothra",""
"370","486","486","Ballsbridge","Ballsbridge","Droichead na Dothra",""
"371","487","487","Pembroke Road","Pembroke Road","Bóthar Pheambróg",""
"372","488","488","Northumberland Rd","Northumberland Rd","Br Northumberland",""
"373","489","489","Northumberland Rd","Northumberland Rd","Br Northumberland",""
